picker_id,date,orders_picked,errors,hours_worked
PCK_001,01-01-2024,65,2,8.2
PCK_001,08-01-2024,65,0,6.9
PCK_001,15-01-2024,45,1,6.4
PCK_001,22-01-2024,72,2,9.2
PCK_001,29-01-2024,113,1,8.5
PCK_001,05-02-2024,35,2,8.4
PCK_001,12-02-2024,35,2,6.9
PCK_001,19-02-2024,77,1,6.4
PCK_001,26-02-2024,74,1,9
PCK_001,04-03-2024,51,2,7.3
PCK_001,11-03-2024,37,0,9
PCK_001,18-03-2024,34,2,8.8
PCK_001,25-03-2024,34,0,8.5
PCK_001,01-04-2024,44,2,7.8
PCK_001,08-04-2024,50,0,6.5
PCK_001,15-04-2024,70,1,8.9
PCK_001,22-04-2024,118,0,8.8
PCK_001,29-04-2024,95,1,7.1
PCK_001,06-05-2024,64,0,7.1
PCK_001,13-05-2024,105,1,9.4
PCK_001,20-05-2024,46,1,8.9
PCK_001,27-05-2024,77,1,7.1
PCK_001,03-06-2024,78,0,8.6
PCK_001,10-06-2024,34,2,8.8
PCK_001,17-06-2024,57,2,9.8
PCK_001,24-06-2024,46,1,9.6
PCK_002,01-01-2024,42,0,9.4
PCK_002,08-01-2024,76,0,8.6
PCK_002,15-01-2024,87,1,9
PCK_002,22-01-2024,117,2,8.6
PCK_002,29-01-2024,70,1,7.3
PCK_002,05-02-2024,56,2,9.5
PCK_002,12-02-2024,89,0,9.5
PCK_002,19-02-2024,35,0,9.5
PCK_002,26-02-2024,46,1,8.4
PCK_002,04-03-2024,39,2,7.5
PCK_002,11-03-2024,35,1,9.2
PCK_002,18-03-2024,50,0,9.6
PCK_002,25-03-2024,63,1,6.5
PCK_002,01-04-2024,116,0,6.3
PCK_002,08-04-2024,61,1,8.5
PCK_002,15-04-2024,56,1,8
PCK_002,22-04-2024,115,2,9.8
PCK_002,29-04-2024,43,1,9.6
PCK_002,06-05-2024,36,0,9.7
PCK_002,13-05-2024,43,1,9.3
PCK_002,20-05-2024,70,2,6.6
PCK_002,27-05-2024,74,0,6
PCK_002,03-06-2024,52,2,9.5
PCK_002,10-06-2024,43,2,6.2
PCK_002,17-06-2024,96,0,9.6
PCK_002,24-06-2024,47,1,7.5
PCK_003,01-01-2024,41,0,6.3
PCK_003,08-01-2024,43,0,7
PCK_003,15-01-2024,46,2,7.4
PCK_003,22-01-2024,79,2,7.1
PCK_003,29-01-2024,72,2,6.4
PCK_003,05-02-2024,71,0,8.8
PCK_003,12-02-2024,93,1,9
PCK_003,19-02-2024,95,2,7.4
PCK_003,26-02-2024,38,0,8.7
PCK_003,04-03-2024,92,0,8.3
PCK_003,11-03-2024,117,2,7.7
PCK_003,18-03-2024,36,0,7.3
PCK_003,25-03-2024,89,0,8.7
PCK_003,01-04-2024,75,1,8.8
PCK_003,08-04-2024,113,1,8.5
PCK_003,15-04-2024,59,2,7.4
PCK_003,22-04-2024,102,0,9
PCK_003,29-04-2024,64,1,8.1
PCK_003,06-05-2024,81,2,7.3
PCK_003,13-05-2024,80,2,8.5
PCK_003,20-05-2024,68,2,9
PCK_003,27-05-2024,77,0,8.6
PCK_003,03-06-2024,64,2,8.6
PCK_003,10-06-2024,111,2,8.7
PCK_003,17-06-2024,80,1,8.1
PCK_003,24-06-2024,66,0,9.1
PCK_004,01-01-2024,50,0,8.5
PCK_004,08-01-2024,82,0,7.8
PCK_004,15-01-2024,45,2,6.1
PCK_004,22-01-2024,72,2,10
PCK_004,29-01-2024,71,1,8.7
PCK_004,05-02-2024,115,2,9.6
PCK_004,12-02-2024,94,0,9.4
PCK_004,19-02-2024,76,0,9.9
PCK_004,26-02-2024,90,0,9.6
PCK_004,04-03-2024,105,0,8.7
PCK_004,11-03-2024,42,0,7.8
PCK_004,18-03-2024,47,1,7.6
PCK_004,25-03-2024,37,1,8.6
PCK_004,01-04-2024,72,0,7.4
PCK_004,08-04-2024,73,2,9.4
PCK_004,15-04-2024,94,2,7
PCK_004,22-04-2024,116,2,8.2
PCK_004,29-04-2024,49,2,7.5
PCK_004,06-05-2024,44,0,9.3
PCK_004,13-05-2024,114,0,8.7
PCK_004,20-05-2024,104,2,7
PCK_004,27-05-2024,52,1,6.4
PCK_004,03-06-2024,95,1,6.1
PCK_004,10-06-2024,80,2,8.7
PCK_004,17-06-2024,84,0,6.2
PCK_004,24-06-2024,74,0,8.8
PCK_005,01-01-2024,117,1,8.2
PCK_005,08-01-2024,86,2,8.2
PCK_005,15-01-2024,51,1,8.7
PCK_005,22-01-2024,35,1,6.8
PCK_005,29-01-2024,93,0,9
PCK_005,05-02-2024,49,0,7.1
PCK_005,12-02-2024,49,1,8.3
PCK_005,19-02-2024,73,2,9.2
PCK_005,26-02-2024,54,2,8.3
PCK_005,04-03-2024,111,2,9.3
PCK_005,11-03-2024,56,0,7.9
PCK_005,18-03-2024,50,0,9.5
PCK_005,25-03-2024,39,2,6.2
PCK_005,01-04-2024,67,2,9.3
PCK_005,08-04-2024,98,1,6.9
PCK_005,15-04-2024,105,2,7.2
PCK_005,22-04-2024,99,0,9.7
PCK_005,29-04-2024,47,0,6.2
PCK_005,06-05-2024,32,2,6.7
PCK_005,13-05-2024,77,0,9.9
PCK_005,20-05-2024,76,1,8.9
PCK_005,27-05-2024,56,2,9.2
PCK_005,03-06-2024,99,2,7.4
PCK_005,10-06-2024,117,1,7.8
PCK_005,17-06-2024,92,1,9.1
PCK_005,24-06-2024,32,1,9.2
PCK_006,01-01-2024,56,2,8
PCK_006,08-01-2024,114,1,7.5
PCK_006,15-01-2024,61,0,7.1
PCK_006,22-01-2024,98,0,7.5
PCK_006,29-01-2024,82,2,6.3
PCK_006,05-02-2024,105,1,7.7
PCK_006,12-02-2024,65,1,7.3
PCK_006,19-02-2024,109,1,7.8
PCK_006,26-02-2024,94,2,8.1
PCK_006,04-03-2024,115,2,7.9
PCK_006,11-03-2024,52,1,8.9
PCK_006,18-03-2024,73,2,7.4
PCK_006,25-03-2024,66,0,9.3
PCK_006,01-04-2024,116,2,9.4
PCK_006,08-04-2024,77,0,6.3
PCK_006,15-04-2024,49,1,8.7
PCK_006,22-04-2024,119,1,6.3
PCK_006,29-04-2024,95,0,8.3
PCK_006,06-05-2024,44,1,7
PCK_006,13-05-2024,81,2,8.5
PCK_006,20-05-2024,43,2,8.4
PCK_006,27-05-2024,69,2,8.7
PCK_006,03-06-2024,45,1,9.4
PCK_006,10-06-2024,92,0,8
PCK_006,17-06-2024,84,1,6.2
PCK_006,24-06-2024,56,1,8.9
PCK_007,01-01-2024,39,0,7.6
PCK_007,08-01-2024,100,2,6.9
PCK_007,15-01-2024,53,1,7.6
PCK_007,22-01-2024,62,2,7.9
PCK_007,29-01-2024,56,2,8.1
PCK_007,05-02-2024,107,0,9.1
PCK_007,12-02-2024,36,2,9.1
PCK_007,19-02-2024,115,0,7.1
PCK_007,26-02-2024,57,2,9
PCK_007,04-03-2024,100,0,7.9
PCK_007,11-03-2024,44,2,7
PCK_007,18-03-2024,41,1,6.4
PCK_007,25-03-2024,89,1,7.4
PCK_007,01-04-2024,57,0,9.7
PCK_007,08-04-2024,67,1,6.6
PCK_007,15-04-2024,73,0,7.6
PCK_007,22-04-2024,75,0,6.3
PCK_007,29-04-2024,58,1,9.6
PCK_007,06-05-2024,65,1,9.4
PCK_007,13-05-2024,117,1,8.5
PCK_007,20-05-2024,33,1,6.5
PCK_007,27-05-2024,101,1,9.9
PCK_007,03-06-2024,89,0,9.4
PCK_007,10-06-2024,66,2,8.5
PCK_007,17-06-2024,64,1,9
PCK_007,24-06-2024,49,2,7.7
PCK_008,01-01-2024,55,0,8
PCK_008,08-01-2024,117,2,9.5
PCK_008,15-01-2024,84,1,7.2
PCK_008,22-01-2024,52,1,7.2
PCK_008,29-01-2024,94,1,6.8
PCK_008,05-02-2024,119,2,8.1
PCK_008,12-02-2024,69,2,6.2
PCK_008,19-02-2024,85,1,7.1
PCK_008,26-02-2024,82,1,9.6
PCK_008,04-03-2024,112,2,8.8
PCK_008,11-03-2024,88,0,7
PCK_008,18-03-2024,117,1,7.8
PCK_008,25-03-2024,62,2,9.9
PCK_008,01-04-2024,44,2,8.4
PCK_008,08-04-2024,85,0,8.7
PCK_008,15-04-2024,101,2,7.4
PCK_008,22-04-2024,34,0,6.5
PCK_008,29-04-2024,70,1,9.4
PCK_008,06-05-2024,61,2,9.2
PCK_008,13-05-2024,70,2,6.6
PCK_008,20-05-2024,99,2,8.3
PCK_008,27-05-2024,34,2,7
PCK_008,03-06-2024,38,0,6.3
PCK_008,10-06-2024,40,1,8.2
PCK_008,17-06-2024,92,0,6.8
PCK_008,24-06-2024,42,2,6.6
PCK_009,01-01-2024,87,1,6.4
PCK_009,08-01-2024,74,0,7.9
PCK_009,15-01-2024,33,2,9.3
PCK_009,22-01-2024,114,0,6.4
PCK_009,29-01-2024,70,2,8.4
PCK_009,05-02-2024,93,1,9.1
PCK_009,12-02-2024,60,2,7.9
PCK_009,19-02-2024,44,2,9.6
PCK_009,26-02-2024,100,2,7.9
PCK_009,04-03-2024,112,1,6.4
PCK_009,11-03-2024,71,1,10
PCK_009,18-03-2024,111,2,9.7
PCK_009,25-03-2024,102,2,9.3
PCK_009,01-04-2024,39,1,6
PCK_009,08-04-2024,43,2,7.6
PCK_009,15-04-2024,57,2,7.1
PCK_009,22-04-2024,98,0,6.2
PCK_009,29-04-2024,66,1,9.8
PCK_009,06-05-2024,60,0,8.8
PCK_009,13-05-2024,82,1,9.7
PCK_009,20-05-2024,57,0,6.5
PCK_009,27-05-2024,51,1,8.4
PCK_009,03-06-2024,98,0,8.3
PCK_009,10-06-2024,117,1,8.3
PCK_009,17-06-2024,74,0,7.9
PCK_009,24-06-2024,49,1,9.7
PCK_010,01-01-2024,64,1,6.5
PCK_010,08-01-2024,92,1,7.6
PCK_010,15-01-2024,38,1,6.5
PCK_010,22-01-2024,37,2,9.3
PCK_010,29-01-2024,48,1,8.7
PCK_010,05-02-2024,116,2,9.7
PCK_010,12-02-2024,75,2,8.1
PCK_010,19-02-2024,36,0,9.3
PCK_010,26-02-2024,98,0,7.9
PCK_010,04-03-2024,31,1,7.5
PCK_010,11-03-2024,42,2,6.9
PCK_010,18-03-2024,64,0,6.3
PCK_010,25-03-2024,36,2,9.2
PCK_010,01-04-2024,42,2,7
PCK_010,08-04-2024,33,1,8.2
PCK_010,15-04-2024,60,2,6.6
PCK_010,22-04-2024,93,1,9.4
PCK_010,29-04-2024,51,0,7.4
PCK_010,06-05-2024,51,2,8.9
PCK_010,13-05-2024,43,1,6.7
PCK_010,20-05-2024,52,1,9.7
PCK_010,27-05-2024,91,2,9.2
PCK_010,03-06-2024,103,0,7
PCK_010,10-06-2024,82,0,7.5
PCK_010,17-06-2024,49,0,8.6
PCK_010,24-06-2024,45,2,8.5
PCK_011,01-01-2024,50,2,8.3
PCK_011,08-01-2024,111,1,9.4
PCK_011,15-01-2024,76,0,8.4
PCK_011,22-01-2024,47,1,6.3
PCK_011,29-01-2024,115,1,8.8
PCK_011,05-02-2024,90,1,8.6
PCK_011,12-02-2024,75,0,9.3
PCK_011,19-02-2024,113,0,8.1
PCK_011,26-02-2024,113,0,7.2
PCK_011,04-03-2024,37,1,8.2
PCK_011,11-03-2024,87,1,9.4
PCK_011,18-03-2024,80,2,8
PCK_011,25-03-2024,119,2,8.7
PCK_011,01-04-2024,53,2,6.9
PCK_011,08-04-2024,107,0,9.4
PCK_011,15-04-2024,42,0,7.6
PCK_011,22-04-2024,56,0,8.9
PCK_011,29-04-2024,56,1,7.2
PCK_011,06-05-2024,75,1,6.9
PCK_011,13-05-2024,88,2,6.9
PCK_011,20-05-2024,88,1,8.8
PCK_011,27-05-2024,61,1,8
PCK_011,03-06-2024,86,0,9.3
PCK_011,10-06-2024,65,0,6.8
PCK_011,17-06-2024,93,1,9.5
PCK_011,24-06-2024,114,0,6.7
PCK_012,01-01-2024,95,1,9.5
PCK_012,08-01-2024,59,2,6.4
PCK_012,15-01-2024,92,0,8.2
PCK_012,22-01-2024,32,2,6.2
PCK_012,29-01-2024,45,2,9
PCK_012,05-02-2024,108,2,7.4
PCK_012,12-02-2024,54,1,8.9
PCK_012,19-02-2024,73,0,6.7
PCK_012,26-02-2024,51,0,9.4
PCK_012,04-03-2024,48,2,9.5
PCK_012,11-03-2024,115,0,7
PCK_012,18-03-2024,96,0,8.7
PCK_012,25-03-2024,104,1,6.8
PCK_012,01-04-2024,77,0,8.2
PCK_012,08-04-2024,104,0,9.6
PCK_012,15-04-2024,52,2,6.8
PCK_012,22-04-2024,85,0,6.1
PCK_012,29-04-2024,67,1,6.1
PCK_012,06-05-2024,107,2,8.7
PCK_012,13-05-2024,105,0,9.2
PCK_012,20-05-2024,47,1,9.1
PCK_012,27-05-2024,118,2,9.5
PCK_012,03-06-2024,97,1,9.4
PCK_012,10-06-2024,44,1,9.2
PCK_012,17-06-2024,95,0,6.2
PCK_012,24-06-2024,100,0,7.8
PCK_013,01-01-2024,50,0,9.5
PCK_013,08-01-2024,37,0,9.1
PCK_013,15-01-2024,65,1,6.6
PCK_013,22-01-2024,42,0,6.1
PCK_013,29-01-2024,69,2,9.6
PCK_013,05-02-2024,40,0,9.7
PCK_013,12-02-2024,42,0,8.6
PCK_013,19-02-2024,38,0,7.4
PCK_013,26-02-2024,84,2,8.1
PCK_013,04-03-2024,118,2,7
PCK_013,11-03-2024,34,1,8.4
PCK_013,18-03-2024,75,1,7.4
PCK_013,25-03-2024,70,2,8.1
PCK_013,01-04-2024,47,2,8.6
PCK_013,08-04-2024,59,0,8.3
PCK_013,15-04-2024,113,0,7.8
PCK_013,22-04-2024,84,2,8.6
PCK_013,29-04-2024,113,2,7.4
PCK_013,06-05-2024,46,0,8.4
PCK_013,13-05-2024,103,2,9.6
PCK_013,20-05-2024,94,1,6.3
PCK_013,27-05-2024,33,2,9.5
PCK_013,03-06-2024,55,0,9.2
PCK_013,10-06-2024,110,0,9.3
PCK_013,17-06-2024,50,0,7.8
PCK_013,24-06-2024,91,0,9.9
PCK_014,01-01-2024,36,2,9.4
PCK_014,08-01-2024,91,0,8.7
PCK_014,15-01-2024,60,2,6.1
PCK_014,22-01-2024,30,1,8.8
PCK_014,29-01-2024,66,1,7.8
PCK_014,05-02-2024,93,1,7.5
PCK_014,12-02-2024,112,1,9.3
PCK_014,19-02-2024,46,2,9
PCK_014,26-02-2024,109,0,9.4
PCK_014,04-03-2024,119,0,8.8
PCK_014,11-03-2024,68,2,7
PCK_014,18-03-2024,76,0,8.1
PCK_014,25-03-2024,79,0,6.7
PCK_014,01-04-2024,68,1,7.3
PCK_014,08-04-2024,35,2,7
PCK_014,15-04-2024,106,1,8.8
PCK_014,22-04-2024,119,0,9.5
PCK_014,29-04-2024,115,2,8.8
PCK_014,06-05-2024,48,2,8.6
PCK_014,13-05-2024,36,0,7.5
PCK_014,20-05-2024,55,2,7.3
PCK_014,27-05-2024,68,1,7.3
PCK_014,03-06-2024,114,0,7.3
PCK_014,10-06-2024,118,0,6.4
PCK_014,17-06-2024,42,0,7.9
PCK_014,24-06-2024,115,2,7.6
PCK_015,01-01-2024,31,0,8.2
PCK_015,08-01-2024,63,0,8
PCK_015,15-01-2024,40,1,8.1
PCK_015,22-01-2024,78,2,8.5
PCK_015,29-01-2024,61,1,9.1
PCK_015,05-02-2024,96,0,9.9
PCK_015,12-02-2024,43,2,9.6
PCK_015,19-02-2024,90,1,10
PCK_015,26-02-2024,70,1,7.5
PCK_015,04-03-2024,33,2,6.7
PCK_015,11-03-2024,57,2,8.4
PCK_015,18-03-2024,82,0,9
PCK_015,25-03-2024,45,2,6.4
PCK_015,01-04-2024,83,1,7.7
PCK_015,08-04-2024,63,0,9.1
PCK_015,15-04-2024,62,2,9.9
PCK_015,22-04-2024,35,2,9.8
PCK_015,29-04-2024,38,1,8.4
PCK_015,06-05-2024,99,1,8.5
PCK_015,13-05-2024,97,2,6.9
PCK_015,20-05-2024,42,2,6.3
PCK_015,27-05-2024,94,1,9.9
PCK_015,03-06-2024,43,0,7.3
PCK_015,10-06-2024,100,1,10
PCK_015,17-06-2024,105,2,9.2
PCK_015,24-06-2024,35,2,9.4
PCK_016,01-01-2024,59,1,10
PCK_016,08-01-2024,96,0,9.2
PCK_016,15-01-2024,77,1,8.4
PCK_016,22-01-2024,73,0,6.1
PCK_016,29-01-2024,104,1,7.4
PCK_016,05-02-2024,48,0,7.8
PCK_016,12-02-2024,48,1,7.2
PCK_016,19-02-2024,34,0,8
PCK_016,26-02-2024,78,0,8.6
PCK_016,04-03-2024,70,1,6.5
PCK_016,11-03-2024,101,1,9.6
PCK_016,18-03-2024,68,1,8.4
PCK_016,25-03-2024,99,2,8.3
PCK_016,01-04-2024,70,0,9.7
PCK_016,08-04-2024,82,1,6.3
PCK_016,15-04-2024,76,2,7.9
PCK_016,22-04-2024,114,1,9.7
PCK_016,29-04-2024,56,0,8.7
PCK_016,06-05-2024,40,2,9.8
PCK_016,13-05-2024,32,0,7.3
PCK_016,20-05-2024,35,0,9.6
PCK_016,27-05-2024,79,1,7.3
PCK_016,03-06-2024,115,2,8
PCK_016,10-06-2024,58,0,7
PCK_016,17-06-2024,119,2,6.3
PCK_016,24-06-2024,115,2,6.2
PCK_017,01-01-2024,47,2,6.1
PCK_017,08-01-2024,77,0,6.4
PCK_017,15-01-2024,67,0,9.9
PCK_017,22-01-2024,57,1,8.2
PCK_017,29-01-2024,115,2,6.7
PCK_017,05-02-2024,42,0,7.6
PCK_017,12-02-2024,34,1,6.2
PCK_017,19-02-2024,110,2,8.9
PCK_017,26-02-2024,110,0,6.2
PCK_017,04-03-2024,110,2,9.8
PCK_017,11-03-2024,109,1,6.4
PCK_017,18-03-2024,111,1,6.3
PCK_017,25-03-2024,47,1,6.3
PCK_017,01-04-2024,76,2,8.2
PCK_017,08-04-2024,107,2,7.5
PCK_017,15-04-2024,46,1,8.5
PCK_017,22-04-2024,46,2,8.7
PCK_017,29-04-2024,30,1,7.8
PCK_017,06-05-2024,79,1,8.3
PCK_017,13-05-2024,66,0,7.9
PCK_017,20-05-2024,85,1,8.8
PCK_017,27-05-2024,58,2,8.1
PCK_017,03-06-2024,49,1,8.3
PCK_017,10-06-2024,119,1,8
PCK_017,17-06-2024,113,2,9.9
PCK_017,24-06-2024,117,0,7.3
PCK_018,01-01-2024,98,2,7.6
PCK_018,08-01-2024,49,1,9.7
PCK_018,15-01-2024,99,1,8.1
PCK_018,22-01-2024,90,2,9.7
PCK_018,29-01-2024,78,0,6.7
PCK_018,05-02-2024,40,0,9.5
PCK_018,12-02-2024,84,2,7.8
PCK_018,19-02-2024,44,2,7.4
PCK_018,26-02-2024,103,1,6.1
PCK_018,04-03-2024,46,0,9.3
PCK_018,11-03-2024,98,0,7.6
PCK_018,18-03-2024,61,2,9.2
PCK_018,25-03-2024,79,0,9.1
PCK_018,01-04-2024,100,0,6.6
PCK_018,08-04-2024,74,1,9.6
PCK_018,15-04-2024,61,0,7.5
PCK_018,22-04-2024,37,2,7.3
PCK_018,29-04-2024,112,2,6.7
PCK_018,06-05-2024,57,0,6.6
PCK_018,13-05-2024,79,0,6.2
PCK_018,20-05-2024,79,0,6.9
PCK_018,27-05-2024,96,2,8.1
PCK_018,03-06-2024,40,1,9.5
PCK_018,10-06-2024,115,1,8.4
PCK_018,17-06-2024,113,2,9.1
PCK_018,24-06-2024,113,0,9.6
PCK_019,01-01-2024,47,0,8.3
PCK_019,08-01-2024,118,0,6.2
PCK_019,15-01-2024,53,1,9.1
PCK_019,22-01-2024,91,2,8.8
PCK_019,29-01-2024,61,0,8.5
PCK_019,05-02-2024,104,1,7.4
PCK_019,12-02-2024,45,2,7.7
PCK_019,19-02-2024,32,2,9
PCK_019,26-02-2024,64,1,6.6
PCK_019,04-03-2024,118,2,8.8
PCK_019,11-03-2024,94,0,9
PCK_019,18-03-2024,88,2,9.6
PCK_019,25-03-2024,47,1,6.8
PCK_019,01-04-2024,62,1,9.1
PCK_019,08-04-2024,59,1,10
PCK_019,15-04-2024,50,1,6.4
PCK_019,22-04-2024,74,0,8.3
PCK_019,29-04-2024,32,0,9.3
PCK_019,06-05-2024,87,2,8.6
PCK_019,13-05-2024,64,2,9.8
PCK_019,20-05-2024,63,2,8.2
PCK_019,27-05-2024,104,0,6.7
PCK_019,03-06-2024,44,1,9.1
PCK_019,10-06-2024,73,2,9.4
PCK_019,17-06-2024,112,0,7.5
PCK_019,24-06-2024,100,1,9
PCK_020,01-01-2024,78,2,6.5
PCK_020,08-01-2024,34,0,7.5
PCK_020,15-01-2024,113,2,9.9
PCK_020,22-01-2024,116,1,7.5
PCK_020,29-01-2024,112,0,8.8
PCK_020,05-02-2024,109,1,9
PCK_020,12-02-2024,65,2,8.1
PCK_020,19-02-2024,32,0,9.9
PCK_020,26-02-2024,41,1,8.9
PCK_020,04-03-2024,91,1,6.9
PCK_020,11-03-2024,63,0,9.8
PCK_020,18-03-2024,102,0,8.7
PCK_020,25-03-2024,47,2,7.3
PCK_020,01-04-2024,118,1,9.9
PCK_020,08-04-2024,45,2,8.5
PCK_020,15-04-2024,99,2,8.8
PCK_020,22-04-2024,107,2,10
PCK_020,29-04-2024,35,1,7.7
PCK_020,06-05-2024,39,0,7.8
PCK_020,13-05-2024,60,0,7
PCK_020,20-05-2024,69,2,7
PCK_020,27-05-2024,53,0,9.9
PCK_020,03-06-2024,60,2,9.4
PCK_020,10-06-2024,40,1,8
PCK_020,17-06-2024,31,0,8.7
PCK_020,24-06-2024,94,0,10
